hh,mm,ss,mss,quantity
9,21,4,3,8.161
9,21,4,4,803.76
9,21,4,5,170.07
9,21,4,6,23.736
9,21,4,7,879.642
9,21,4,8,884.295
9,21,4,9,273.442
9,21,5,0,955.42
9,21,5,1,7.766
9,21,5,2,778.539
9,21,5,3,601.518
9,21,5,4,533.476
9,21,5,5,768.193
9,21,5,6,979.806
9,21,5,7,873.204
9,21,5,8,204.411
9,21,5,9,388.817
9,21,6,0,259.235
9,21,6,1,860.196
9,21,6,2,225.14
9,21,6,3,246.586
9,21,6,4,71.372
9,21,6,5,195.368
9,21,6,6,461.553
9,21,6,7,787.111
9,21,6,8,831.978
9,21,6,9,628.614
9,21,7,0,684.819
9,21,7,1,486.28
9,21,7,2,190.291
9,21,7,3,857.263
9,21,7,4,126.481
9,21,7,5,677.137
9,21,7,6,102.467
9,21,7,7,853.844
9,21,7,8,799.934
9,21,7,9,492.384
9,21,8,0,269.145
9,21,8,1,291.65
9,21,8,2,354.403
9,21,8,3,40.192
9,21,8,4,409.023
9,21,8,5,297.021
9,21,8,6,635.472
9,21,8,7,589.264
9,21,8,8,617.805
9,21,8,9,685.021
9,21,9,0,422.796
9,21,9,1,210.663
9,21,9,2,535.498
9,21,9,3,735.432
9,21,9,4,584.693
9,21,9,5,725.157
9,21,9,6,653.687
9,21,9,7,726.031
9,21,9,8,620.332
9,21,9,9,981.37
9,21,10,0,604.047
9,21,10,1,403.923
9,21,10,2,215.488
9,21,10,3,244.139
9,21,10,4,178.349
9,21,10,5,504.743
9,21,10,6,527.67
9,21,10,7,784.277
9,21,10,8,807.887
9,21,10,9,181.139
9,21,11,0,572.617
9,21,11,1,186.07
9,21,11,2,366.937
9,21,11,3,184.944
9,21,11,4,489.904
9,21,11,5,538.494
9,21,11,6,565.725
9,21,11,7,886.116
9,21,11,8,650.288
9,21,11,9,502.772
9,21,12,0,569.394
9,21,12,1,587.739
9,21,12,2,442.188
9,21,12,3,573.654
9,21,12,4,226.325
9,21,12,5,411.687
9,21,12,6,731.272
9,21,12,7,258.436
9,21,12,8,546.974
9,21,12,9,760.285
9,21,13,0,430.14
9,21,13,1,370.585
9,21,13,2,426.96
9,21,13,3,906.298
9,21,13,4,570.755
9,21,13,5,437.538
9,21,13,6,438.533
9,21,13,7,729.082
9,21,13,8,694.844
9,21,13,9,814.096
9,21,14,0,998.012
9,21,14,1,995.729
9,21,14,2,878.579
9,21,14,3,239.929
9,21,14,4,542.406
9,21,14,5,416.419
9,21,14,6,715.648
9,21,14,7,671.366
9,21,14,8,844.058
9,21,14,9,215.597
9,21,15,0,510.055
9,21,15,1,20.538
9,21,15,2,722.512
9,21,15,3,711.596
9,21,15,4,989.04
9,21,15,5,885.85
9,21,15,6,710.281
9,21,15,7,242.568
9,21,15,8,815.093
9,21,15,9,293.311
9,21,16,0,491.435
9,21,16,1,834.293
9,21,16,2,993.762
9,21,16,3,272.941
9,21,16,4,570.621
9,21,16,5,704.182
9,21,16,6,329.584
9,21,16,7,310.548
9,21,16,8,81.271
9,21,16,9,118.258
9,21,17,0,429.183
9,21,17,1,586.708
9,21,17,2,589.825
9,21,17,3,668.622
9,21,17,4,789.113
9,21,17,5,174.806
9,21,17,6,245.892
9,21,17,7,407.388
9,21,17,8,479.105
9,21,17,9,649.594
9,21,18,0,113.042
9,21,18,1,242.864
9,21,18,2,346.241
9,21,18,3,98.738
9,21,18,4,370.759
9,21,18,5,983.507
9,21,18,6,750.889
9,21,18,7,411.87
9,21,18,8,384.615
9,21,18,9,281.762
9,21,19,0,142.689
9,21,19,1,933.607
9,21,19,2,344.638
9,21,19,3,677.366
9,21,19,4,947.45
9,21,19,5,838.041
9,21,19,6,754.399
9,21,19,7,834.207
9,21,19,8,690.738
9,21,19,9,966.553
9,21,20,0,506.366
9,21,20,1,323.384
9,21,20,2,692.986
9,21,20,3,160.724
9,21,20,4,767.972
9,21,20,5,327.828
9,21,20,6,351.36
9,21,20,7,620.331
9,21,20,8,457.301
9,21,20,9,884.62
9,21,21,0,629.915
9,21,21,1,87.673
9,21,21,2,666.126
9,21,21,3,616.016
9,21,21,4,799.249
9,21,21,5,220.404
9,21,21,6,979.863
9,21,21,7,771.659
9,21,21,8,37.865
9,21,21,9,623.063
9,21,22,0,417.901
9,21,22,1,474.449
9,21,22,2,562.799
9,21,22,3,360.556
9,21,22,4,268.75
9,21,22,5,248.641
9,21,22,6,588.691
9,21,22,7,365.393
9,21,22,8,762.672
9,21,22,9,684.921
9,21,23,0,930.412
9,21,23,1,82.153
9,21,23,2,570.004
9,21,23,3,260.783
9,21,23,4,922.262
9,21,23,5,923.0
9,21,23,6,76.485
9,21,23,7,911.705
9,21,23,8,334.208
9,21,23,9,741.04
9,21,24,0,887.835
9,21,24,1,819.031
9,21,24,2,503.732
9,21,24,3,508.389
9,21,24,4,10.704
9,21,24,5,868.324
9,21,24,6,668.003
9,21,24,7,999.951
9,21,24,8,996.498
9,21,24,9,364.405
9,21,25,0,102.441
9,21,25,1,890.865
9,21,25,2,620.274
9,21,25,3,500.276
9,21,25,4,443.383
9,21,25,5,777.686
9,21,25,6,440.92
9,21,25,7,386.347
9,21,25,8,890.5
9,21,25,9,821.211
9,21,26,0,408.799
9,21,26,1,188.319
9,21,26,2,894.555
9,21,26,3,702.282
9,21,26,4,536.538
9,21,26,5,5.978
9,21,26,6,333.31
9,21,26,7,928.06
9,21,26,8,356.894
9,21,26,9,54.289
9,21,27,0,496.917
9,21,27,1,567.9
9,21,27,2,954.439
9,21,27,3,145.413
9,21,27,4,315.902
9,21,27,5,522.307
9,21,27,6,200.63
9,21,27,7,373.963
9,21,27,8,424.521
9,21,27,9,461.211
9,21,28,0,7.263
9,21,28,1,186.566
9,21,28,2,762.971
9,21,28,3,768.411
9,21,28,4,790.854
9,21,28,5,949.802
9,21,28,6,944.032
9,21,28,7,561.836
9,21,28,8,225.396
9,21,28,9,388.985
9,21,29,0,287.471
9,21,29,1,393.6
9,21,29,2,745.011
9,21,29,3,690.013
9,21,29,4,297.277
9,21,29,5,992.901
9,21,29,6,259.73
9,21,29,7,237.126
9,21,29,8,574.289
9,21,29,9,975.268
9,21,30,0,506.928
9,21,30,1,755.147
9,21,30,2,295.082
9,21,30,3,97.115
9,21,30,4,450.221
9,21,30,5,875.498
9,21,30,6,568.576
9,21,30,7,264.987
9,21,30,8,428.696
9,21,30,9,967.823
9,21,31,0,650.853
9,21,31,1,247.039
9,21,31,2,242.906
9,21,31,3,397.668
9,21,31,4,804.475
9,21,31,5,499.033
9,21,31,6,171.199
9,21,31,7,741.227
9,21,31,8,109.573
9,21,31,9,381.515
9,21,32,0,788.785
9,21,32,1,940.794
9,21,32,2,489.321
9,21,32,3,420.373
9,21,32,4,355.85
9,21,32,5,99.972
9,21,32,6,591.424
9,21,32,7,795.228
9,21,32,8,43.88
9,21,32,9,272.524
9,21,33,0,367.895
9,21,33,1,822.149
9,21,33,2,815.215
9,21,33,3,771.685
9,21,33,4,284.919
9,21,33,5,778.109
9,21,33,6,479.401
9,21,33,7,419.027
9,21,33,8,397.748
9,21,33,9,572.546
9,21,34,0,909.317
9,21,34,1,388.327
9,21,34,2,894.99
9,21,34,3,376.434
9,21,34,4,954.363
9,21,34,5,929.305
9,21,34,6,591.72
9,21,34,7,644.847
9,21,34,8,213.185
9,21,34,9,543.129
9,21,35,0,506.5
9,21,35,1,87.566
9,21,35,2,989.442
9,21,35,3,375.588
9,21,35,4,680.269
9,21,35,5,598.499
9,21,35,6,409.922
9,21,35,7,837.086
9,21,35,8,360.566
9,21,35,9,115.343
9,21,36,0,464.748
9,21,36,1,340.875
9,21,36,2,371.417
9,21,36,3,708.03
9,21,36,4,405.796
9,21,36,5,734.228
9,21,36,6,398.338
9,21,36,7,30.491
9,21,36,8,799.677
9,21,36,9,105.859
9,21,37,0,471.612
9,21,37,1,219.997
9,21,37,2,657.773
9,21,37,3,318.877
9,21,37,4,465.393
9,21,37,5,586.946
